Index-Map: 
	1	0
	2	0
	3	0
	4	0
	5	0
	6	0
	7	0
	8	0
	9	0
	10	0
	11	0
	12	1
	13	2
	14	0
	15	0
	16	0
	17	0
	18	0
	19	0
	20	0
	21	0
	22	0
	23	0
	24	0
	25	0
	26	0
	27	2
	28	2
	29	2
	30	3
	31	2
	32	3
	33	3
	34	0
	35	0
	36	3
	37	2
	38	0
	39	0
	40	0
	41	3
	42	3
	43	0
	44	0
	45	0
	46	4
	47	2
	48	2
	49	3
	50	3
	51	3
	52	3
	53	3
	54	0
	55	0
	56	0
	57	0
	58	0
	59	2
	60	2
	61	2
	62	3
	63	2
	64	3
	65	5
	66	6
	67	2
	68	2
	69	2
	70	7
	71	6
	72	2
	73	8
	74	2
	75	3
	76	0
	77	3
	78	3
	79	0
	80	3
	81	3
	82	0
	83	3
	84	3
	85	0
	86	0
	87	3
	88	3
	89	3
	90	3
	91	0
	92	0
	93	0
	94	0
	95	3
	96	3
	97	3
	98	3
	99	0
	100	0
	101	0
	102	2
	103	2
	104	3
	105	0
	106	3
	107	0
	108	3
	109	0
	110	0
	111	0
	112	3
	113	3
	114	3
	115	3
	116	3
	117	3
	118	0
	119	0
	120	0
	121	0
	122	0
	123	8
	124	9
	125	0
	126	3
	127	0
	128	2
	129	4
	130	3
	131	3
	132	0
	133	0
	134	10
	135	11
	136	1
	137	1
	138	2
	139	11
	140	10
	141	2
	142	2
	143	2
	144	2
	145	3
	146	2
	147	3
	148	3
	149	3
	150	3
	151	3
	152	2
	153	3
	154	12
	155	2
	156	12
	157	12
	158	2
	159	12
	160	13
	161	2
	162	3
	163	3
	164	2
	165	2
	166	2
	167	12
	168	12
	169	12
	170	2
	171	2
	172	13
	173	2
	174	3
	175	1
	176	1
	177	8
	178	2
	179	2
	180	4
	181	2
	182	2
	183	3
	184	3
	185	2
	186	2
	187	2
	188	2
	189	2
	190	2
	191	2
	192	3
	193	3
	194	14
	195	14
	196	2
	197	8
	198	8
	199	2
	200	8
	201	8
	202	2
	203	3
	204	8
	205	8
	206	8
	207	3
	208	8
	209	8
	210	14
	211	2
	212	6
	213	12
	214	2
	215	2
	216	12
	217	2
	218	3
	219	3
	220	3
	221	2
	222	0
	223	2
